PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 3.6300e-01    1.3815e+02   -9.0940e-01    1.0466e+00
 3.6400e-01    1.3816e+02   -9.0911e-01    1.0463e+00
 3.6500e-01    1.3817e+02   -9.0881e-01    1.0460e+00
 3.6600e-01    1.3819e+02   -9.0852e-01    1.0457e+00
 3.6700e-01    1.3820e+02   -9.0823e-01    1.0455e+00
 3.6800e-01    1.3821e+02   -9.0795e-01    1.0452e+00
 3.6900e-01    1.3822e+02   -9.0769e-01    1.0450e+00
 3.7000e-01    1.3823e+02   -9.0746e-01    1.0448e+00
 3.7100e-01    1.3824e+02   -9.0727e-01    1.0446e+00
 3.7200e-01    1.3825e+02   -9.0709e-01    1.0444e+00
 3.7300e-01    1.3826e+02   -9.0692e-01    1.0442e+00
 3.7400e-01    1.3827e+02   -9.0677e-01    1.0441e+00
 3.7500e-01    1.3828e+02   -9.0662e-01    1.0439e+00
 3.7600e-01    1.3828e+02   -9.0648e-01    1.0438e+00
 3.7700e-01    1.3829e+02   -9.0636e-01    1.0437e+00
 3.7800e-01    1.3830e+02   -9.0625e-01    1.0435e+00
 3.7900e-01    1.3831e+02   -9.0614e-01    1.0434e+00
 3.8000e-01    1.3831e+02   -9.0605e-01    1.0433e+00
 3.8100e-01    1.3832e+02   -9.0597e-01    1.0432e+00
 3.8200e-01    1.3833e+02   -9.0589e-01    1.0431e+00
 3.8300e-01    1.3833e+02   -9.0580e-01    1.0430e+00
 3.8400e-01    1.3834e+02   -9.0569e-01    1.0429e+00
 3.8500e-01    1.3835e+02   -9.0558e-01    1.0427e+00
 3.8600e-01    1.3835e+02   -9.0545e-01    1.0426e+00
 3.8700e-01    1.3836e+02   -9.0531e-01    1.0425e+00
 3.8800e-01    1.3837e+02   -9.0516e-01    1.0423e+00
 3.8900e-01    1.3838e+02   -9.0498e-01    1.0422e+00
 3.9000e-01    1.3839e+02   -9.0478e-01    1.0420e+00
 3.9100e-01    1.3840e+02   -9.0457e-01    1.0418e+00
 3.9200e-01    1.3841e+02   -9.0433e-01    1.0415e+00
 3.9300e-01    1.3842e+02   -9.0409e-01    1.0413e+00
