PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 3.4500e-01    1.4357e+02   -7.8829e-01    1.0986e+00
 3.4600e-01    1.4360e+02   -7.8783e-01    1.0982e+00
 3.4700e-01    1.4362e+02   -7.8741e-01    1.0978e+00
 3.4800e-01    1.4364e+02   -7.8703e-01    1.0975e+00
 3.4900e-01    1.4365e+02   -7.8670e-01    1.0971e+00
 3.5000e-01    1.4367e+02   -7.8642e-01    1.0968e+00
 3.5100e-01    1.4369e+02   -7.8617e-01    1.0965e+00
 3.5200e-01    1.4370e+02   -7.8596e-01    1.0963e+00
 3.5300e-01    1.4371e+02   -7.8578e-01    1.0960e+00
 3.5400e-01    1.4372e+02   -7.8562e-01    1.0958e+00
 3.5500e-01    1.4373e+02   -7.8548e-01    1.0957e+00
 3.5600e-01    1.4374e+02   -7.8535e-01    1.0955e+00
 3.5700e-01    1.4375e+02   -7.8524e-01    1.0953e+00
 3.5800e-01    1.4376e+02   -7.8512e-01    1.0951e+00
 3.5900e-01    1.4377e+02   -7.8501e-01    1.0950e+00
 3.6000e-01    1.4378e+02   -7.8491e-01    1.0948e+00
 3.6100e-01    1.4379e+02   -7.8482e-01    1.0946e+00
 3.6200e-01    1.4380e+02   -7.8474e-01    1.0945e+00
 3.6300e-01    1.4381e+02   -7.8466e-01    1.0943e+00
 3.6400e-01    1.4382e+02   -7.8457e-01    1.0941e+00
 3.6500e-01    1.4383e+02   -7.8448e-01    1.0940e+00
 3.6600e-01    1.4384e+02   -7.8436e-01    1.0939e+00
 3.6700e-01    1.4385e+02   -7.8423e-01    1.0936e+00
 3.6800e-01    1.4387e+02   -7.8405e-01    1.0934e+00
 3.6900e-01    1.4388e+02   -7.8384e-01    1.0931e+00
 3.7000e-01    1.4390e+02   -7.8358e-01    1.0928e+00
 3.7100e-01    1.4391e+02   -7.8330e-01    1.0925e+00
 3.7200e-01    1.4393e+02   -7.8300e-01    1.0924e+00
 3.7300e-01    1.4395e+02   -7.8269e-01    1.0920e+00
 3.7400e-01    1.4396e+02   -7.8236e-01    1.0916e+00
 3.7500e-01    1.4398e+02   -7.8201e-01    1.0912e+00
 3.7600e-01    1.4400e+02   -7.8162e-01    1.0908e+00
 3.7700e-01    1.4402e+02   -7.8121e-01    1.0904e+00
 3.7800e-01    1.4404e+02   -7.8075e-01    1.0900e+00
 3.7900e-01    1.4407e+02   -7.8026e-01    1.0895e+00
 3.8000e-01    1.4409e+02   -7.7973e-01    1.0891e+00
 3.8100e-01    1.4411e+02   -7.7918e-01    1.0887e+00
 3.8200e-01    1.4414e+02   -7.7862e-01    1.0881e+00
 3.8300e-01    1.4416e+02   -7.7808e-01    1.0876e+00
 3.8400e-01    1.4419e+02   -7.7755e-01    1.0872e+00
 3.8500e-01    1.4421e+02   -7.7704e-01    1.0867e+00
 3.8600e-01    1.4423e+02   -7.7656e-01    1.0862e+00
 3.8700e-01    1.4425e+02   -7.7611e-01    1.0858e+00
 3.8800e-01    1.4427e+02   -7.7570e-01    1.0855e+00
 3.8900e-01    1.4429e+02   -7.7533e-01    1.0852e+00
 3.9000e-01    1.4430e+02   -7.7500e-01    1.0848e+00
 3.9100e-01    1.4432e+02   -7.7469e-01    1.0844e+00
 3.9200e-01    1.4433e+02   -7.7442e-01    1.0842e+00
 3.9300e-01    1.4435e+02   -7.7419e-01    1.0839e+00
